Libelle_Departement,Nombre_Etablissements,Population_Totale,Ratio_100k
AIN,810,686804.0,117.94
AISNE,860,536985.0,160.15
ALLIER,600,343338.0,174.75
ALPES DE HAUTE PROVENCE,351,171621.0,204.52
ALPES MARITIMES,1858,1128455.0,164.65
ARDECHE,573,341709.0,167.69
ARDENNES,481,273109.0,176.12
ARIEGE,315,159309.0,197.73
AUBE,551,317888.0,173.33
AUDE,655,386066.0,169.66
AVEYRON,667,289781.0,230.17
BAS RHIN,1369,1172296.0,116.78
BOUCHES DU RHONE,3068,2093958.0,146.52
CALVADOS,1295,718172.0,180.32
CANTAL,359,149242.0,240.55
CHARENTE,659,360259.0,182.92
CHARENTE MARITIME,1086,683710.0,158.84
CHER,529,306254.0,172.73
CORREZE,490,247619.0,197.88
CORSE DU SUD,287,168376.0,170.45
COTE D OR,871,549018.0,158.65
COTES D ARMOR,939,627182.0,149.72
CREUSE,262,118874.0,220.4
DEUX SEVRES,654,385737.0,169.55
DORDOGNE,678,426445.0,158.99
DOUBS,866,562072.0,154.07
DROME,906,534077.0,169.64
ESSONNE,1558,1338107.0,116.43
EURE,879,614731.0,142.99
EURE ET LOIR,704,442835.0,158.98
FINISTERE,1436,952351.0,150.78
GARD,1130,777323.0,145.37
GERS,388,198988.0,194.99
GIRONDE,2168,1701107.0,127.45
GUADELOUPE,692,388197.0,178.26
GUYANE,292,290476.0,100.52
HAUT RHIN,1021,781443.0,130.66
HAUTE CORSE,314,187843.0,167.16
HAUTE GARONNE,1933,1479413.0,130.66
HAUTE LOIRE,438,234921.0,186.45
HAUTE MARNE,363,174637.0,207.86
HAUTE SAONE,402,239980.0,167.51
HAUTE SAVOIE,1099,869929.0,126.33
HAUTE VIENNE,596,378754.0,157.36
HAUTES ALPES,327,145993.0,223.98
HAUTES PYRENEES,471,237183.0,198.58
HAUTS DE SEINE,2200,1663026.0,132.29
HERAULT,1811,1235457.0,146.59
ILLE ET VILAINE,1571,1133863.0,138.55
INDRE,467,222400.0,209.98
INDRE ET LOIRE,953,628358.0,151.67
ISERE,1905,1316153.0,144.74
JURA,523,267295.0,195.66
LA REUNION,869,891190.0,97.51
LANDES,650,440615.0,147.52
LOIR ET CHER,547,337416.0,162.11
LOIRE,1208,785855.0,153.72
LOIRE ATLANTIQUE,1962,1502050.0,130.62
LOIRET,956,701560.0,136.27
LOT,416,181023.0,229.81
LOT ET GARONNE,681,340185.0,200.19
LOZERE,301,80049.0,376.02
MAINE ET LOIRE,1214,848029.0,143.16
MANCHE,857,511634.0,167.5
MARNE,861,575111.0,149.71
MARTINIQUE,590,364991.0,161.65
MAYENNE,539,314524.0,171.37
MAYOTTE,166,0.0,0.0
MEURTHE ET MOSELLE,1184,744052.0,159.13
MEUSE,395,185753.0,212.65
MORBIHAN,1205,797092.0,151.17
MOSELLE,1302,1068619.0,121.84
NIEVRE,442,207295.0,213.22
NORD,4031,2646988.0,152.29
OISE,1123,848010.0,132.43
ORNE,566,283434.0,199.69
PARIS,3525,2129257.0,165.55
PAS DE CALAIS,2070,1481487.0,139.72
PUY DE DOME,1003,678623.0,147.8
PYRENEES ATLANTIQUES,1205,718206.0,167.78
PYRENEES ORIENTALES,751,501001.0,149.9
RHONE,2886,1933160.0,149.29
SAINT PIERRE ET MIQUELON,16,0.0,0.0
SAONE ET LOIRE,1131,563990.0,200.54
SARTHE,853,579000.0,147.32
SAVOIE,682,457463.0,149.08
SEINE ET MARNE,1670,1468459.0,113.72
SEINE MARITIME,1988,1280768.0,155.22
SEINE SAINT DENIS,2039,1688205.0,120.78
SOMME,964,575480.0,167.51
TARN,758,406186.0,186.61
TARN ET GARONNE,408,270664.0,150.74
TERRITOIRE DE BELFORT,192,142989.0,134.28
VAL D OISE,1434,1280338.0,112.0
VAL DE MARNE,1799,1428350.0,125.95
VAR,1485,1124489.0,132.06
VAUCLUSE,934,579262.0,161.24
VENDEE,1197,725062.0,165.09
VIENNE,818,448866.0,182.24
VOSGES,642,369069.0,173.95
WALLIS ET FUTUNA,2,0.0,0.0
YONNE,574,342095.0,167.79
YVELINES,1687,1493882.0,112.93
