Libelle_Departement,Nombre_Etablissements,Population_Totale
AIN,807,686804.0
AISNE,852,536985.0
ALLIER,601,343338.0
ALPES DE HAUTE PROVENCE,351,171621.0
ALPES MARITIMES,1859,1128455.0
ARDECHE,571,341709.0
ARDENNES,480,273109.0
ARIEGE,314,159309.0
AUBE,550,317888.0
AUDE,650,386066.0
AVEYRON,666,289781.0
BAS RHIN,1366,1172296.0
BOUCHES DU RHONE,3076,2093958.0
CALVADOS,1294,718172.0
CANTAL,358,149242.0
CHARENTE,661,360259.0
CHARENTE MARITIME,1084,683710.0
CHER,529,306254.0
CORREZE,489,247619.0
CORSE DU SUD,281,168376.0
COTE D OR,873,549018.0
COTES D ARMOR,944,627182.0
CREUSE,262,118874.0
DEUX SEVRES,652,385737.0
DORDOGNE,675,426445.0
DOUBS,835,562072.0
DROME,908,534077.0
ESSONNE,1555,1338107.0
EURE,878,614731.0
EURE ET LOIR,705,442835.0
FINISTERE,1436,952351.0
GARD,1125,777323.0
GERS,387,198988.0
GIRONDE,2155,1701107.0
GUADELOUPE,691,388197.0
GUYANE,288,290476.0
HAUT RHIN,1018,781443.0
HAUTE CORSE,313,187843.0
HAUTE GARONNE,1926,1479413.0
HAUTE LOIRE,437,234921.0
HAUTE MARNE,366,174637.0
HAUTE SAONE,400,239980.0
HAUTE SAVOIE,1100,869929.0
HAUTE VIENNE,594,378754.0
HAUTES ALPES,325,145993.0
HAUTES PYRENEES,466,237183.0
HAUTS DE SEINE,2210,1663026.0
HERAULT,1800,1235457.0
ILLE ET VILAINE,1564,1133863.0
INDRE,466,222400.0
INDRE ET LOIRE,953,628358.0
ISERE,1912,1316153.0
JURA,528,267295.0
LA REUNION,871,891190.0
LANDES,648,440615.0
LOIR ET CHER,551,337416.0
LOIRE,1206,785855.0
LOIRE ATLANTIQUE,1951,1502050.0
LOIRET,958,701560.0
LOT,417,181023.0
LOT ET GARONNE,679,340185.0
LOZERE,299,80049.0
MAINE ET LOIRE,1211,848029.0
MANCHE,856,511634.0
MARNE,860,575111.0
MARTINIQUE,588,364991.0
MAYENNE,536,314524.0
MAYOTTE,168,0.0
MEURTHE ET MOSELLE,1180,744052.0
MEUSE,396,185753.0
MORBIHAN,1199,797092.0
MOSELLE,1294,1068619.0
NIEVRE,447,207295.0
NORD,4023,2646988.0
OISE,1111,848010.0
ORNE,565,283434.0
PARIS,3527,2129257.0
PAS DE CALAIS,2059,1481487.0
PUY DE DOME,1002,678623.0
PYRENEES ATLANTIQUES,1207,718206.0
PYRENEES ORIENTALES,755,501001.0
RHONE,2892,1933160.0
SAINT PIERRE ET MIQUELON,16,0.0
SAONE ET LOIRE,1127,563990.0
SARTHE,850,579000.0
SAVOIE,678,457463.0
SEINE ET MARNE,1671,1468459.0
SEINE MARITIME,1983,1280768.0
SEINE SAINT DENIS,2043,1688205.0
SOMME,962,575480.0
TARN,751,406186.0
TARN ET GARONNE,405,270664.0
TERRITOIRE DE BELFORT,193,142989.0
VAL D OISE,1455,1280338.0
VAL DE MARNE,1806,1428350.0
VAR,1484,1124489.0
VAUCLUSE,934,579262.0
VENDEE,1197,725062.0
VIENNE,813,448866.0
VOSGES,642,369069.0
WALLIS ET FUTUNA,2,0.0
YONNE,616,342095.0
YVELINES,1691,1493882.0
